KEYWORD,COMMENT
SIMPLE,Conforms to FITS Standard
BITPIX,Number of bits per pixel
NAXIS,Number of axes
NAXIS1,Length of the first axis
NAXIS2,Length of the second axis
NAXIS3,Length of the third axis
EXTNAME,Name of this binary table extension
LONGSTRN,The OGIP long string convention may be used
DOI,Data reference DOI
PROJECT,PUNCH
TITLE,PUNCH Level-0 WFI-1 Clear Image
KEYVOCAB,Unified Astronomy Thesaurus Keywords
KEYWORDS,"Solar Corona (1483), Solar K Corona (2042), Solar F Corona (1991), Solar Coronal Streamers (1486), Solar Coronal Plumes (2039), Solar Wind (1534), Fast Solar Wind (1872), Slow Solar Wind (1873), Solar Coronal Mass Ejection (310), Heliosphere (711), Polarimetry (1278)"
LICENSE,Creative Commons Attribution 4.0 International | CC BY 4.0
DESCRPTN,"PUNCH Level-0 data, Uncalibrated instrumental units in camera coordinates"
DOC_URL,https://punch.spaceops.swri.org
FILENAME,Name of file
LEVEL,Product Level
OBSTYPE,Plain text observation
TYPECODE,Observation product type code
OBSCODE,Observatory spacecraft code
PIPEVRSN,punchbowl software version number
FILEVRSN,File version number (<1 is provisional)
ORIGIN,Institution responsible for creating the file
TIMESYS,Principal time system
DATE-BEG,UTC time observation
DATE-OBS,UTC reference time
DATE-AVG,UTC reference time
DATE-END,UTC time of observation end
DATE,UTC file generation date and time
WAVELNTH,[nm] average peak response
WAVEUNIT,Unit of observation measurement
FILTER,Name of filter for observations
OBS-MODE,"Image Mode (Unpolarized, Polar_MZP, Polar_BpB)"
OBSLAYR1,Image Mode for first datacube layer
OBSLAYR2,Image Mode for second datacube layer
OBSLAYR3,Image Mode for third datacube layer
POLAR,[deg] Polarizer angle or fill value for clear
POLAROFF,[deg] Offset in degrees of polarizer from POLAR
POLARREF,Polarizer reference frame (instrument or solar)
INSTRUME,Instrument name
TELESCOP,Satellite name
OBSRVTRY,Observatory name
HAS_WFI1,Includes WFI-1 data
HAS_WFI2,Includes WFI-2 data
HAS_WFI3,Includes WFI-3 data
HAS_NFI4,Includes NFI data
ALL_INPT,Includes all expected mosaic components
OBJECT,Object observed
CROTA,[deg] Human-readable solar north pole angle
DETECTOR,CCD detector 2048x2048 pixels
COM_SET,compression setting
ACQ_SET,acquisition setting
EXPTIME,[s] commanded exposure time
OFFSET,commanded offset value used in camera
GAINBTM,[e/DN] gain value (bottom CCD side)
GAINTOP,[e/DN] gain value (top CCD side)
GAINCMDB,[e/DN] commanded gain value (bottom CCD side)
GAINCMDT,[e/DN] commanded gain value (top CCD side)
